title,image,link,info,score
不能承受的生命之轻,https://img1.doubanio.com/view/subject/m/public/s1091698.jpg,https://book.douban.com/subject/1017143/,[捷克] 米兰·昆德拉 / 许钧 / 上海译文出版社 / 2003-7 / 23.00元,8.5
我们仨,https://img3.doubanio.com/view/subject/m/public/s1015872.jpg,https://book.douban.com/subject/1023045/,杨绛 / 生活·读书·新知三联书店 / 2003-7 / 18.80元,8.7
哈利·波特与魔法石,https://img3.doubanio.com/view/subject/m/public/s1990480.jpg,https://book.douban.com/subject/1041007/,[英] J. K. 罗琳 / 苏农 / 人民文学出版社 / 2000-9 / 19.50元,9.0
达·芬奇密码,https://img3.doubanio.com/view/subject/m/public/s1513425.jpg,https://book.douban.com/subject/1040771/,[美] 丹·布朗 / 朱振武、吴晟、周元晓 / 上海人民出版社 / 2004-2 / 28.00元,8.2
我们一无所有,https://img3.doubanio.com/view/subject/m/public/s29632864.jpg,https://book.douban.com/subject/27193117/,[美] 安东尼·马拉 / 施清真 / 江苏凤凰文艺出版社 / 2018-2 / 49.80,8.8
解忧杂货店,https://img3.doubanio.com/view/subject/m/public/s27264181.jpg,https://book.douban.com/subject/25862578/,[日] 东野圭吾 / 李盈春 / 南海出版公司 / 2014-5 / 39.50元,8.5
茶花女,https://img1.doubanio.com/view/subject/m/public/s1008927.jpg,https://book.douban.com/subject/1013380/,小仲马 / 王振孙 / 外国文学出版社 / 1997-3 / 9.00元,8.2
局外人,https://img3.doubanio.com/view/subject/m/public/s4468484.jpg,https://book.douban.com/subject/4908885/,[法] 阿尔贝·加缪 / 柳鸣九 / 上海译文出版社 / 2010-8 / 22.00元,9.0
我的天才女友,https://img1.doubanio.com/view/subject/m/public/s29164777.jpg,https://book.douban.com/subject/26878124/,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-1 / 42.00元,8.5
你今天真好看,https://img3.doubanio.com/view/subject/m/public/s28369176.jpg,https://book.douban.com/subject/26602392/,[美]莉兹•克里莫 / 周高逸 / 雅众文化/天津人民出版社 / 2015-8 / 39.00元,8.7
回答不了,https://img3.doubanio.com/view/subject/m/public/s29890136.jpg,https://book.douban.com/subject/30336863/,匡扶 / 浙江文艺出版社 / 2018-10 / 59.00元,8.5
非平面,https://img1.doubanio.com/view/subject/m/public/s29871217.jpg,https://book.douban.com/subject/30327868/,[美] 尼克·索萨尼斯 / 严安若 / 后浪丨北京联合出版公司 / 2018-11 / 60.00元,8.5
向左走·向右走,https://img3.doubanio.com/view/subject/m/public/s1557610.jpg,https://book.douban.com/subject/1066462/,幾米 / 生活·读书·新知三联书店 / 2002-8 / 16.00元,8.4
父与子全集,https://img1.doubanio.com/view/subject/m/public/s1094608.jpg,https://book.douban.com/subject/1002898/,[德] 埃·奥·卜劳恩 绘 / 杨莹 / 中国工人出版社 / 2003-4 / 20.00元,9.2
半小时漫画世界史,https://img1.doubanio.com/view/subject/m/public/s29736949.jpg,https://book.douban.com/subject/30191803/,陈磊（笔名：二混子） / 江苏凤凰文艺出版社 / 2018-4-4 / 39.90元,7.5
追寻逝去的时光·第一卷：去斯万家那边,https://img1.doubanio.com/view/subject/m/public/s29881117.jpg,https://book.douban.com/subject/27194720/,[法] 马塞尔·普鲁斯特 原著、斯泰凡·厄埃 绘 / 周克希 / 后浪丨湖南美术出版社 / 2018-1 / 160.00元,9.3
半小时漫画中国史（修订版）,https://img3.doubanio.com/view/subject/m/public/s29492853.jpg,https://book.douban.com/subject/27003014/,二混子 / 江苏凤凰文艺出版社 / 2017-4-10 / 39.90元,7.4
铳梦,https://img3.doubanio.com/view/subject/m/public/s2157023.jpg,https://book.douban.com/subject/1467239/,木城雪户 / 東立 / 1990 / 8.00,9.1
大叔上等,https://img3.doubanio.com/view/subject/m/public/s4612870.jpg,https://book.douban.com/subject/5949213/,松武 / 晨星出版社 / 2011 / NT.110,9.3
我可以咬一口吗,https://img3.doubanio.com/view/subject/m/public/s28685416.jpg,https://book.douban.com/subject/26755503/,[美] 莉兹·克里莫 / 周高逸 / 天津人民出版社 / 2016-4 / 39.00元,8.8
梦的化石,https://img1.doubanio.com/view/subject/m/public/s29888548.jpg,https://book.douban.com/subject/30338769/,[日]今敏 / 焦阳 / 北京联合出版公司 / 2018-11-1 / CNY 108.00,8.2
海贼王,https://img1.doubanio.com/view/subject/m/public/s1492518.jpg,https://book.douban.com/subject/1474773/,尾田荣一郎 / 董科 / 浙江人民美术出版社 / 2007-11 / 7.50元,9.5
镖人,https://img3.doubanio.com/view/subject/m/public/s29725620.jpg,https://book.douban.com/subject/30163844/,许先哲 / 北京联合出版公司 / 2018-4 / 39.90元,8.3
半小时漫画中国史2,https://img1.doubanio.com/view/subject/m/public/s29787697.jpg,https://book.douban.com/subject/30206117/,陈磊（笔名：二混子） / 海南出版社 / 2018-5-31 / 39.90元,7.3
建筑师,https://img1.doubanio.com/view/subject/m/public/s29952659.jpg,https://book.douban.com/subject/30218241/,(美) 大卫·马祖凯利 / 艾琦 / 后浪 | 北京联合出版公司 / 2019-3 / 198.00元,9.4
半小时漫画中国史3,https://img3.doubanio.com/view/subject/m/public/s29830876.jpg,https://book.douban.com/subject/30232294/,陈磊（笔名：二混子） / 海南出版社 / 2018-7 / 39.90元,7.6
